Ratio of CH4 in Feed,Reaction Temperature,Ni Loading,Reaction Time,Pore Size,Pore Volume,Surface Area,H2-TPR Peak Temperature,Ni Particle Size,GHSV,CH4 Conversion,CO2 Conversion,Syngas_Ratio,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.333,400.0,10.0,5.0,31.9,0.25,35.6,758.0,26.5,36000.0,4.3,4.06,0.312,-0.79701793,0.6766461,-1.6736671,0.59592146,-0.23932265,0.71880174,-0.44376382,-0.15273982,-0.099797554,-0.14941514
0.15,800.0,3.64,120.0,23.9,0.66,123.3,785.0,9.2,108000.0,92.5,99.0,1.0,1.109618,0.7637652,0.5325135,0.28597456,-0.17852344,-0.16773093,-0.29287648,-0.015221661,0.44925687,-0.26117384
0.15,800.0,3.64,60.0,23.9,0.66,123.3,785.0,9.2,108000.0,93.6,98.47,1.0,1.109618,0.7637652,0.5325135,0.28597456,-0.17852344,-0.16773093,-0.29287648,-0.015221661,0.44925687,-0.26117384
0.5,700.0,10.0,0.5,7.94,0.37,186.0,829.0,9.13,18000.0,68.6,78.2,0.9,1.8273147,0.63277763,0.16307911,0.21559353,0.028935842,-0.06676546,0.103160486,0.14149167,0.18539369,-0.055311464
0.5,600.0,10.0,0.5,7.94,0.37,186.0,829.0,9.13,18000.0,38.5,48.5,0.83,1.8273147,0.63277763,0.16307911,0.21559353,0.028935842,-0.06676546,0.103160486,0.14149167,0.18539369,-0.055311464
0.5,550.0,10.0,0.5,7.94,0.37,186.0,829.0,9.13,18000.0,26.0,29.7,0.76,1.8273147,0.63277763,0.16307911,0.21559353,0.028935842,-0.06676546,0.103160486,0.14149167,0.18539369,-0.055311464
0.5,650.0,10.0,0.5,7.94,0.37,186.0,829.0,9.13,18000.0,53.7,63.8,0.88,1.8273147,0.63277763,0.16307911,0.21559353,0.028935842,-0.06676546,0.103160486,0.14149167,0.18539369,-0.055311464
0.5,550.0,10.0,0.5,30.5,0.18,23.3,405.8,13.1,12000.0,18.5,,0.75,-2.4280949,1.0695429,0.6044759,-1.3553119,0.85383564,1.0361638,0.09370816,0.19464491,-0.057589088,-1.1667658
0.5,650.0,10.0,0.5,30.5,0.18,23.3,405.8,13.1,12000.0,52.3,,0.99,-2.4280949,1.0695429,0.6044759,-1.3553119,0.85383564,1.0361638,0.09370816,0.19464491,-0.057589088,-1.1667658
0.5,600.0,10.0,0.5,30.5,0.18,23.3,405.8,13.1,12000.0,33.8,,0.91,-2.4280949,1.0695429,0.6044759,-1.3553119,0.85383564,1.0361638,0.09370816,0.19464491,-0.057589088,-1.1667658
0.5,700.0,10.0,0.5,30.5,0.18,23.3,405.8,13.1,12000.0,61.8,69.8,0.89,-2.4280949,1.0695429,0.6044759,-1.3553119,0.85383564,1.0361638,0.09370816,0.19464491,-0.057589088,-1.1667658
0.5,700.0,10.0,0.5,22.7,0.2,34.8,360.1,12.1,12000.0,62.5,65.9,0.9,-2.1941776,0.9423813,1.0069032,-1.2930969,0.89372325,0.94725007,0.097973675,0.39146852,-0.062114034,-0.92406654
0.5,650.0,10.0,0.5,22.7,0.2,34.8,360.1,12.1,12000.0,51.3,,1.04,-2.1941776,0.9423813,1.0069032,-1.2930969,0.89372325,0.94725007,0.097973675,0.39146852,-0.062114034,-0.92406654
0.5,600.0,10.0,0.5,22.7,0.2,34.8,360.1,12.1,12000.0,34.7,,0.94,-2.1941776,0.9423813,1.0069032,-1.2930969,0.89372325,0.94725007,0.097973675,0.39146852,-0.062114034,-0.92406654
0.5,550.0,10.0,0.5,22.7,0.2,34.8,360.1,12.1,12000.0,21.1,,0.76,-2.1941776,0.9423813,1.0069032,-1.2930969,0.89372325,0.94725007,0.097973675,0.39146852,-0.062114034,-0.92406654
0.5,550.0,10.0,0.5,18.9,0.19,40.8,457.7,15.0,12000.0,19.8,,0.79,-2.5861964,0.9306249,0.6536009,-1.0899824,0.659254,0.79157,-0.026318904,0.29409808,-0.12625325,-1.1135043
0.5,700.0,10.0,0.5,18.9,0.19,40.8,457.7,15.0,12000.0,63.3,71.7,0.93,-2.5861964,0.9306249,0.6536009,-1.0899824,0.659254,0.79157,-0.026318904,0.29409808,-0.12625325,-1.1135043
0.5,650.0,10.0,0.5,18.9,0.19,40.8,457.7,15.0,12000.0,53.0,,1.03,-2.5861964,0.9306249,0.6536009,-1.0899824,0.659254,0.79157,-0.026318904,0.29409808,-0.12625325,-1.1135043
0.5,600.0,10.0,0.5,18.9,0.19,40.8,457.7,15.0,12000.0,33.8,,0.94,-2.5861964,0.9306249,0.6536009,-1.0899824,0.659254,0.79157,-0.026318904,0.29409808,-0.12625325,-1.1135043
0.5,600.0,10.0,0.5,16.4,0.15,36.9,444.8,16.2,12000.0,37.7,,0.9,-2.6126082,0.5874022,0.5717598,-1.0086406,0.44360217,1.2450137,0.028647212,0.32716572,-0.14128515,-0.9818477
0.5,650.0,10.0,0.5,16.4,0.15,36.9,444.8,16.2,12000.0,54.4,,0.95,-2.6126082,0.5874022,0.5717598,-1.0086406,0.44360217,1.2450137,0.028647212,0.32716572,-0.14128515,-0.9818477
0.5,700.0,10.0,0.5,16.4,0.15,36.9,444.8,16.2,12000.0,65.7,69.4,0.87,-2.6126082,0.5874022,0.5717598,-1.0086406,0.44360217,1.2450137,0.028647212,0.32716572,-0.14128515,-0.9818477
0.5,700.0,10.0,0.5,16.4,0.15,36.9,444.8,16.2,6000.0,65.4,73.2,0.71,-2.6126082,0.5874022,0.5717598,-1.0086406,0.44360217,1.2450137,0.028647212,0.32716572,-0.14128515,-0.9818477
0.5,550.0,10.0,0.5,16.4,0.15,36.9,444.8,16.2,12000.0,21.5,,0.71,-2.6126082,0.5874022,0.5717598,-1.0086406,0.44360217,1.2450137,0.028647212,0.32716572,-0.14128515,-0.9818477
0.5,550.0,10.0,0.5,16.4,0.15,36.9,444.8,16.2,24000.0,59.5,62.1,0.71,-2.6126082,0.5874022,0.5717598,-1.0086406,0.44360217,1.2450137,0.028647212,0.32716572,-0.14128515,-0.9818477
0.5,700.0,10.0,0.5,16.4,0.15,36.9,444.8,16.2,18000.0,62.3,66.6,0.71,-2.6126082,0.5874022,0.5717598,-1.0086406,0.44360217,1.2450137,0.028647212,0.32716572,-0.14128515,-0.9818477
0.5,600.0,10.0,0.5,14.65,0.11,29.1,442.1,20.2,12000.0,36.6,,0.93,-0.96698284,1.0349874,-1.0671724,0.69026095,-0.68574405,0.41431585,-0.6463608,0.7492175,-0.07953104,-0.07252868
0.5,700.0,10.0,0.5,14.65,0.11,29.1,442.1,20.2,12000.0,65.3,65.9,0.89,-0.96698284,1.0349874,-1.0671724,0.69026095,-0.68574405,0.41431585,-0.6463608,0.7492175,-0.07953104,-0.07252868
0.5,650.0,10.0,0.5,14.65,0.11,29.1,442.1,20.2,12000.0,53.9,,0.96,-0.96698284,1.0349874,-1.0671724,0.69026095,-0.68574405,0.41431585,-0.6463608,0.7492175,-0.07953104,-0.07252868
